Date,Avg Temperature
2012-04-08,86.2
2012-04-09,87.7
2012-04-10,84.0
2012-04-11,76.2
2012-04-12,82.4
2012-04-13,77.0
2012-04-14,74.2
2012-04-15,78.3
2012-04-16,83.4
2012-04-17,82.5
2012-04-18,81.3
2012-04-19,87.0
2012-04-20,84.9
2012-04-21,84.4
2012-04-22,82.3
2012-04-23,85.1
2012-04-24,82.5
2012-04-25,84.3
2012-04-26,77.9
2012-04-27,82.1
2012-04-28,84.9
2012-04-29,86.4
2012-04-30,86.8
2012-05-01,85.3
2012-05-02,87.5
2012-05-03,87.8
2012-05-04,90.1
2012-05-05,89.9
2012-05-06,89.8
2012-05-07,92.0
2012-05-08,91.4
2012-05-09,89.2
2012-05-10,91.3
2012-05-11,86.1
2012-05-12,85.0
2012-05-13,87.3
2012-05-14,84.3
2012-05-15,91.9
2012-05-16,96.6
2012-05-17,91.7
2012-05-18,96.0
2012-05-19,94.5
2012-05-20,95.4
2012-05-21,96.2
2012-05-22,96.8
2012-05-23,96.4
2012-05-24,97.1
2012-05-25,100.1
2012-05-26,98.8
2012-05-27,96.8
2012-05-28,96.0
2012-05-29,98.0
2012-05-30,100.4
2012-05-31,104.4
2012-06-01,102.4
2012-06-02,98.0
2012-06-03,94.6
2012-06-04,94.0
2012-06-05,89.5
2012-06-06,89.9
2012-06-07,91.2
2012-06-08,92.8
2012-06-09,96.1
2012-06-10,97.3
2012-06-11,96.8
2012-06-12,97.3
2012-06-13,100.1
2012-06-14,99.2
2012-06-15,99.2
2012-06-16,99.1
2012-06-17,100.3
2012-06-18,89.6
2012-06-19,97.0
2012-06-20,99.6
2012-06-21,99.1
2012-06-22,98.9
2012-06-23,99.4
2012-06-24,99.5
2012-06-25,99.0
2012-06-26,96.7
2012-06-27,95.6
2012-06-28,97.7
2012-06-29,96.8
2012-06-30,101.7
2012-07-01,100.8
2012-07-02,98.7
2012-07-03,92.7
2012-07-04,92.7
2012-07-05,93.8
2012-07-06,84.5
2012-07-07,80.4
2012-07-08,85.4
2012-07-09,87.3
2012-07-10,87.4
2012-07-11,85.3
2012-07-12,82.3
2012-07-13,84.7
2012-07-14,84.1
2012-07-15,89.8
2012-07-16,90.7
2012-07-17,92.5
2012-07-18,95.2
2012-07-19,95.5
2012-07-20,89.9
2012-07-21,88.2
2012-07-22,90.5
2012-07-23,90.0
2012-07-24,91.2
2012-07-25,86.1
2012-07-26,86.1
2012-07-27,85.3
2012-07-28,86.2
2012-07-29,84.3
2012-07-30,84.6
2012-07-31,80.0
2012-08-01,82.2
2012-08-02,88.8
2012-08-03,87.8
2012-08-04,85.2
2012-08-05,87.3
2012-08-06,86.5
2012-08-07,84.2
2012-08-08,82.2
2012-08-09,83.0
2012-08-10,85.8
2012-08-11,82.2
2012-08-12,86.9
2012-08-13,82.2
2012-08-14,83.4
2012-08-15,84.2
2012-08-16,83.8
2012-08-17,86.6
2012-08-18,88.4
2012-08-19,86.8
2012-08-20,84.4
2012-08-21,81.2
2012-08-22,81.6
2012-08-23,81.5
2012-08-24,80.3
2012-08-25,79.8
2012-08-26,81.8
2012-08-27,82.8
2012-08-28,82.3
2012-08-29,79.9
2012-08-30,80.6
2012-08-31,86.6
2012-09-01,87.5
2012-09-02,84.3
2012-09-03,85.2
2012-09-04,83.8
2012-09-05,86.0
2012-09-06,84.8
2012-09-07,83.1
2012-09-08,83.0
2012-09-09,87.7
2012-09-10,88.3
2012-09-11,86.3
2012-09-12,85.3
2012-09-13,85.5
2012-09-14,81.1
2012-09-15,82.9
2012-09-16,83.2
2012-09-17,83.2
2012-09-18,80.8
2012-09-19,83.6
2012-09-20,82.1
2012-09-21,81.9
2012-09-22,84.3
2012-09-23,82.6
2012-09-24,82.0
2012-09-25,82.7
2012-09-26,83.6
2012-09-27,82.1
2012-09-28,82.8
2012-09-29,83.4
2012-09-30,84.5
2012-10-01,83.1
2012-10-02,82.9
2012-10-03,83.3
2012-10-04,82.8
2012-10-05,81.8
2012-10-06,82.8
2012-10-07,81.4
2012-10-08,81.0
2012-10-09,80.4
2012-10-10,80.2
2012-10-11,79.5
2012-10-12,80.6
2012-10-13,81.9
2012-10-14,82.1
2012-10-15,80.8
2012-10-16,78.1
2012-10-17,79.4
2012-10-18,76.6
2012-10-19,77.5
2012-10-20,77.5
2012-10-21,76.7
2012-10-22,76.0
2012-10-23,73.1
2012-10-24,70.4
2012-10-25,70.0
2012-10-26,71.5
